bins;cycles
1.000000000000000000e+00;4.615400000000000000e+04
2.000000000000000000e+00;3.697700000000000000e+04
3.000000000000000000e+00;3.751600000000000000e+04
4.000000000000000000e+00;3.875250000000000000e+04
5.000000000000000000e+00;3.759700000000000000e+04
6.000000000000000000e+00;3.447400000000000000e+04
7.000000000000000000e+00;3.010100000000000000e+04
8.000000000000000000e+00;2.586200000000000000e+04
9.000000000000000000e+00;2.228750000000000000e+04
1.000000000000000000e+01;1.752750000000000000e+04
1.100000000000000000e+01;1.224000000000000000e+04
1.200000000000000000e+01;8.208500000000000000e+03
1.300000000000000000e+01;5.560000000000000000e+03
1.400000000000000000e+01;3.593000000000000000e+03
1.500000000000000000e+01;2.212000000000000000e+03
1.600000000000000000e+01;1.237000000000000000e+03
1.700000000000000000e+01;6.375000000000000000e+02
1.800000000000000000e+01;3.055000000000000000e+02
1.900000000000000000e+01;1.610000000000000000e+02
2.000000000000000000e+01;7.000000000000000000e+01
2.100000000000000000e+01;2.750000000000000000e+01
2.200000000000000000e+01;1.450000000000000000e+01
2.300000000000000000e+01;5.500000000000000000e+00
2.400000000000000000e+01;4.500000000000000000e+00
2.500000000000000000e+01;5.000000000000000000e-01
