bins;cycles
1.000000000000000000e+00;5.250450000000000000e+04
2.000000000000000000e+00;4.684650000000000000e+04
3.000000000000000000e+00;5.440150000000000000e+04
4.000000000000000000e+00;6.009050000000000000e+04
5.000000000000000000e+00;5.457250000000000000e+04
6.000000000000000000e+00;4.138350000000000000e+04
7.000000000000000000e+00;2.786900000000000000e+04
8.000000000000000000e+00;1.700000000000000000e+04
9.000000000000000000e+00;9.398500000000000000e+03
1.000000000000000000e+01;4.714000000000000000e+03
1.100000000000000000e+01;2.119500000000000000e+03
1.200000000000000000e+01;8.930000000000000000e+02
1.300000000000000000e+01;3.230000000000000000e+02
1.400000000000000000e+01;1.210000000000000000e+02
1.500000000000000000e+01;3.850000000000000000e+01
1.600000000000000000e+01;8.500000000000000000e+00
1.700000000000000000e+01;5.000000000000000000e+00
1.800000000000000000e+01;5.000000000000000000e-01
