bins;cycles
1.000000000000000000e+00;4.731200000000000000e+04
2.000000000000000000e+00;3.667850000000000000e+04
3.000000000000000000e+00;3.700650000000000000e+04
4.000000000000000000e+00;3.863450000000000000e+04
5.000000000000000000e+00;3.776800000000000000e+04
6.000000000000000000e+00;3.422000000000000000e+04
7.000000000000000000e+00;2.934400000000000000e+04
8.000000000000000000e+00;2.431600000000000000e+04
9.000000000000000000e+00;1.929350000000000000e+04
1.000000000000000000e+01;1.504150000000000000e+04
1.100000000000000000e+01;1.087250000000000000e+04
1.200000000000000000e+01;7.588000000000000000e+03
1.300000000000000000e+01;5.070000000000000000e+03
1.400000000000000000e+01;3.169000000000000000e+03
1.500000000000000000e+01;1.832000000000000000e+03
1.600000000000000000e+01;1.024000000000000000e+03
1.700000000000000000e+01;5.750000000000000000e+02
1.800000000000000000e+01;2.740000000000000000e+02
1.900000000000000000e+01;1.350000000000000000e+02
2.000000000000000000e+01;5.250000000000000000e+01
2.100000000000000000e+01;3.150000000000000000e+01
2.200000000000000000e+01;1.300000000000000000e+01
2.300000000000000000e+01;5.500000000000000000e+00
2.400000000000000000e+01;3.000000000000000000e+00
