bins;cycles
1.000000000000000000e+00;4.472550000000000000e+04
2.000000000000000000e+00;3.946100000000000000e+04
3.000000000000000000e+00;4.787300000000000000e+04
4.000000000000000000e+00;5.784700000000000000e+04
5.000000000000000000e+00;5.619600000000000000e+04
6.000000000000000000e+00;4.572200000000000000e+04
7.000000000000000000e+00;3.408600000000000000e+04
8.000000000000000000e+00;2.432750000000000000e+04
9.000000000000000000e+00;1.567550000000000000e+04
1.000000000000000000e+01;8.081500000000000000e+03
1.100000000000000000e+01;3.400000000000000000e+03
1.200000000000000000e+01;1.319500000000000000e+03
1.300000000000000000e+01;4.890000000000000000e+02
1.400000000000000000e+01;1.965000000000000000e+02
1.500000000000000000e+01;5.650000000000000000e+01
1.600000000000000000e+01;1.750000000000000000e+01
1.700000000000000000e+01;4.000000000000000000e+00
1.800000000000000000e+01;5.000000000000000000e-01
1.900000000000000000e+01;5.000000000000000000e-01
